Player,Team,ETV,Skill/Pot
João Pedro,Brighton,€61.3M,71.0/78.5
Darwin Núñez,Liverpool,€60.9M,80.5/84.1
Alejandro Garnacho,Man Utd,€60.7M,70.9/87.1
Pedro Neto,Chelsea,€60.6M,70.6/75.9
Dejan Kulusevski,Tottenham,€60.5M,86.7/91.7
Cristian Romero,Tottenham,€60.1M,72.6/74.8
Destiny Udogie,Tottenham,€59.4M,78.5/90.3
Ben White,Arsenal,€58.8M,83.1/84.9
Illia Zabarnyi,B'mouth,€58.8M,75.3/88.1
Diogo Jota,Liverpool,€58.6M,83.2/83.6
Rúben Dias,Man City,€58.5M,86.4/86.4
Archie Gray,Tottenham,€58.2M,71.0/89.0
James Maddison,Tottenham,€58.1M,81.2/81.2
Ibrahima Konaté,Liverpool,€57.2M,81.4/85.4
Bryan Mbeumo,Brentford,€57.2M,81.2/85.9
Levi Colwill,Chelsea,€56.6M,78.1/91.4
Pedro Porro,Tottenham,€55.9M,74.6/79.7
Trent Alexander-Arnold,Liverpool,€55.8M,85.3/87.4
Dean Huijsen,B'mouth,€55M,65.2/82.3
Bruno Fernandes,Man Utd,€54.8M,79.8/79.9
Marc Guéhi,C. Palace,€54.2M,79.0/83.7
Marcus Rashford,Aston Villa,€53.6M,79.1/79.2
Sandro Tonali,Newcastle Utd.,€52.9M,78.0/82.3
Carlos Baleba,Brighton,€52.4M,73.7/87.5
Matthijs de Ligt,Man Utd,€52.2M,75.6/82.9
Dominic Solanke,Tottenham,€52.1M,79.5/80.2
Christopher Nkunku,Chelsea,€51.7M,79.1/81.0
Noni Madueke,Chelsea,€51.6M,76.1/86.4
João Gomes,Wolverhampton,€51.1M,71.4/77.2
Pape Matar Sarr,Tottenham,€50.8M,70.5/80.6
Kaoru Mitoma,Brighton,€50.6M,80.2/80.2
Bernardo Silva,Man City,€50M,86.7/87.8
Anthony Gordon,Newcastle Utd.,€49.5M,80.7/86.9
Valentino Livramento,Newcastle Utd.,€49.3M,73.6/84.3
Riccardo Calafiori,Arsenal,€49.3M,73.1/80.7
Lisandro Martínez,Man Utd,€49.2M,73.0/74.5
Adam Wharton,C. Palace,€48.9M,68.1/81.3
Amad Diallo,Man Utd,€48.5M,69.4/76.9
Jarrod Bowen,West Ham United,€48.1M,73.5/75.3
Antoine Semenyo,B'mouth,€47.7M,74.1/79.3
Joelinton,Newcastle Utd.,€47.5M,77.0/77.0
Elliot Anderson,Nottingham,€46.5M,79.6/89.8
Antonee Robinson,Fulham,€46.4M,77.9/78.7
Boubacar Kamara,Aston Villa,€46.3M,78.9/82.6
Jacob Ramsey,Aston Villa,€45.8M,78.8/85.9
Anthony Elanga,Nottingham,€45.5M,75.0/82.6
Pau Torres,Aston Villa,€45.3M,75.6/77.2
Rayan Aït-Nouri,Wolverhampton,€45M,70.5/77.7
Justin Kluivert,B'mouth,€44.8M,79.3/81.7
Joshua Zirkzee,Man Utd,€43.7M,73.5/80.1
Noussair Mazraoui,Man Utd,€43M,76.6/77.4
Manuel Akanji,Man City,€42.8M,79.9/82.7
Ezri Konsa,Aston Villa,€42.7M,75.9/76.1
Yankuba Minteh,Brighton,€42.6M,74.0/85.6
Jan Paul van Hecke,Brighton,€42.4M,72.3/78.6
Matheus Nunes,Man City,€42.3M,71.6/72.7
Guglielmo Vicario,Tottenham,€41.6M,72.3/72.3
Youri Tielemans,Aston Villa,€41.5M,79.1/79.9
Harvey Barnes,Newcastle Utd.,€41.5M,78.2/78.6
Georginio Rutter,Brighton,€41.3M,72.1/79.0
