Player,Nation,Squad,Position,Age,Minutes,Matches played,Starts,Goals,Assists,Yellow cards,Red cards,Expected: xG,Expected: xAG,Progression: PrgC,Progression: PrgP,Progression: PrgR,Per 90: Gls,Per 90: Ast,Per 90: xG,Per 90: xGA,Performance: GA90,Performance: Save%,Performance: CS%,Penalty Kicks: Save%,Standard: SoT%,Standard: SoT/90,Standard: G/Sh,Standard: Dist,Total: Cmp,Total: Cmp%,Total: TotDist,Short: Cmp%,Medium: Cmp%,Long: Cmp%,Expected: KP,Expected: 1/3,Expected: PPA,Expected: CrsPA,SCA,SCA90,GCA,GCA90,Tackles: Tkl,Tackles: TklW,Challenges: Att,Challenges: Lost,Blocks: Blocks,Blocks: Sh,Blocks: Pass,Blocks: Int,Touches: Touches,Touches: Def Pen,Touches: Def 3rd,Touches: Mid 3rd,Touches Att 3rd,Touches Att Pen,TakeOns: Att,TakeOns: Succ%,TakeOns: Tkld%,Carries: Carries,Carries: PrgDist,Carries: 1/3,Carries: CPA,Carries: Mis,Carries: Dis,Receiving: Rec,Performance: Fls,Performance: Fld,Performance: Off,Performance: Crs,Performance: Recov,Aerials: Won,Aerials: Lost,Aerials: Won%
Jurriën Timber,NED,Arsenal,DF,23,"2,417",30,27,1,3,7,0,1.2,0.8,57,146,104,0.04,0.11,0.05,N/a,N/a,N/a,N/a,N/a,28.6,0.15,0.07,14.1,1194,85.6,4642,91.0,86.0,52.9,17,107,17,2,52,1.94,9,0.34,58,38,N/a,9,19,4,15,22,1661,51,304,859,505,66,N/a,N/a,45.3,890,2076,27,11,N/a,N/a,1052,31,29,6,28,94,22,20,52.4
Justin Devenny,NIR,Crystal Palace,MF,21,429,20,4,1,0,1,0,0.7,0.4,4,16,12,0.21,0.00,0.14,N/a,N/a,N/a,N/a,N/a,50.0,0.84,0.13,21.2,120,70.6,518,80.5,69.0,38.1,6,15,4,1,11,2.30,0,0.00,14,9,N/a,7,3,0,3,0,232,7,42,115,80,7,N/a,N/a,50.0,109,274,5,1,N/a,N/a,140,7,0,1,17,21,2,13,13.3
Justin Kluivert,NED,Bournemouth,"MF,FW",26,"2,161",31,27,12,6,8,0,10.0,4.8,74,95,153,0.50,0.25,0.42,N/a,N/a,N/a,N/a,N/a,41.5,0.92,0.11,20.4,533,74.3,2208,83.6,76.7,53.1,45,41,32,6,95,3.95,11,0.46,21,9,N/a,17,24,0,24,13,996,23,93,342,581,115,N/a,N/a,47.6,594,2161,52,34,N/a,N/a,653,42,29,5,80,73,7,25,21.9
Jáder Durán,COL,Aston Villa,FW,21,638,20,4,7,0,3,1,4.9,0.2,7,13,44,0.99,0.00,0.69,N/a,N/a,N/a,N/a,N/a,48.4,2.12,0.23,15.6,115,70.6,307,81.0,68.0,45.5,4,10,1,0,18,2.54,1,0.14,8,7,N/a,3,5,0,5,0,263,13,36,110,122,47,N/a,N/a,64.3,133,267,7,2,N/a,N/a,192,14,15,5,3,19,19,19,50.0
Jørgen Strand Larsen,NOR,Wolves,FW,25,"2,463",32,29,13,2,4,0,10.0,2.4,16,28,106,0.48,0.07,0.37,N/a,N/a,N/a,N/a,N/a,60.4,1.17,0.25,11.4,272,63.1,657,70.5,63.2,70.0,19,18,4,1,40,1.46,5,0.18,9,6,N/a,23,18,4,14,5,695,34,83,329,284,104,N/a,N/a,58.8,328,446,13,9,N/a,N/a,507,46,18,14,6,42,66,96,40.7
Kai Havertz,GER,Arsenal,"FW,MF",25,"1,839",21,21,9,3,4,0,9.4,2.4,34,59,110,0.44,0.15,0.46,N/a,N/a,N/a,N/a,N/a,40.4,1.03,0.17,11.7,401,78.5,1010,84.1,82.5,45.5,16,26,8,1,41,2.01,3,0.15,16,9,N/a,11,22,4,18,6,768,31,88,282,403,103,N/a,N/a,63.2,411,922,23,18,N/a,N/a,575,36,21,14,11,39,62,73,45.9
Kalvin Phillips,ENG,Ipswich Town,MF,29,"1,237",19,14,0,0,6,1,0.4,0.2,4,51,4,0.00,0.00,0.03,N/a,N/a,N/a,N/a,N/a,18.2,0.15,0.00,24.3,436,79.1,2474,83.1,86.7,61.2,5,49,6,1,17,1.24,3,0.22,35,19,N/a,24,35,6,29,19,739,61,223,398,122,5,N/a,N/a,50.0,310,569,5,0,N/a,N/a,394,28,20,0,20,68,7,22,24.1
Kamaldeen Sulemana,GHA,Southampton,"FW,MF",23,"1,178",23,14,1,1,2,0,1.4,1.0,57,26,76,0.08,0.08,0.10,N/a,N/a,N/a,N/a,N/a,30.8,0.61,0.04,18.8,253,79.8,572,89.4,82.4,44.4,10,6,13,7,28,2.14,3,0.23,16,14,N/a,5,9,0,9,6,509,13,65,190,272,50,N/a,N/a,55.4,331,1409,34,23,N/a,N/a,358,19,10,2,25,52,9,21,30.0
Kaoru Mitoma,JPN,Brighton,"FW,MF",27,"2,521",33,28,9,3,1,0,8.8,4.4,138,82,277,0.32,0.11,0.31,N/a,N/a,N/a,N/a,N/a,46.3,0.89,0.17,13.9,701,75.3,2069,86.9,70.5,44.0,35,34,32,8,83,2.96,8,0.29,43,26,N/a,28,46,3,43,13,1300,15,149,445,734,156,N/a,N/a,57.5,786,3663,76,55,N/a,N/a,911,39,23,5,72,92,24,27,47.1
Kasey McAteer,IRL,Leicester City,"FW,MF",23,612,15,6,0,1,2,0,0.7,0.6,16,11,52,0.00,0.15,0.10,N/a,N/a,N/a,N/a,N/a,44.4,0.59,0.00,16.5,143,71.5,473,84.7,73.2,45.5,8,8,6,2,18,2.65,2,0.29,14,11,N/a,12,13,1,12,3,288,17,54,112,128,21,N/a,N/a,62.5,174,473,9,8,N/a,N/a,193,15,14,2,16,33,10,16,38.5
Keane Lewis-Potter,ENG,Brentford,"DF,FW",24,"2,839",35,33,1,3,6,0,2.6,3.0,92,90,144,0.03,0.10,0.08,N/a,N/a,N/a,N/a,N/a,51.9,0.44,0.04,20.5,900,77.3,4447,89.6,79.4,48.8,23,61,41,14,67,2.12,8,0.25,44,26,N/a,18,24,9,15,19,1473,94,450,573,469,69,N/a,N/a,50.5,783,2971,63,34,N/a,N/a,878,16,29,4,71,136,26,34,43.3
Kenny Tete,NED,Fulham,DF,29,"1,504",19,18,0,2,4,0,1.2,0.9,33,50,47,0.00,0.12,0.07,N/a,N/a,N/a,N/a,N/a,9.1,0.12,0.00,16.1,669,81.3,3542,91.7,80.3,61.8,7,60,9,6,32,1.91,3,0.18,50,34,N/a,14,22,6,16,29,1033,58,332,422,287,32,N/a,N/a,31.6,534,1229,20,7,N/a,N/a,596,28,14,1,29,65,18,12,60.0
Kepa Arrizabalaga,ESP,Bournemouth,GK,30,"2,520",28,28,0,0,3,0,0.1,0.0,0,2,0,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,0.0,0.00,0.00,9.7,671,71.9,12782,98.1,98.3,47.8,1,9,0,0,4,0.14,0,0.00,1,0,N/a,2,1,0,1,0,990,732,961,28,1,1,N/a,N/a,0.0,557,1588,0,0,N/a,N/a,435,2,5,0,0,52,7,1,87.5
