Player,Nation,Squad,Position,Age,Minutes,Matches played,Starts,Goals,Assists,Yellow cards,Red cards,Expected: xG,Expected: xAG,Progression: PrgC,Progression: PrgP,Progression: PrgR,Per 90: Gls,Per 90: Ast,Per 90: xG,Per 90: xGA,Performance: GA90,Performance: Save%,Performance: CS%,Penalty Kicks: Save%,Standard: SoT%,Standard: SoT/90,Standard: G/Sh,Standard: Dist,Total: Cmp,Total: Cmp%,Total: TotDist,Short: Cmp%,Medium: Cmp%,Long: Cmp%,Expected: KP,Expected: 1/3,Expected: PPA,Expected: CrsPA,SCA,SCA90,GCA,GCA90,Tackles: Tkl,Tackles: TklW,Challenges: Att,Challenges: Lost,Blocks: Blocks,Blocks: Sh,Blocks: Pass,Blocks: Int,Touches: Touches,Touches: Def Pen,Touches: Def 3rd,Touches: Mid 3rd,Touches Att 3rd,Touches Att Pen,TakeOns: Att,TakeOns: Succ%,TakeOns: Tkld%,Carries: Carries,Carries: PrgDist,Carries: 1/3,Carries: CPA,Carries: Mis,Carries: Dis,Receiving: Rec,Performance: Fls,Performance: Fld,Performance: Off,Performance: Crs,Performance: Recov,Aerials: Won,Aerials: Lost,Aerials: Won%
Lewis Cook,ENG,Bournemouth,"MF,DF",28,"2,816",34,30,1,3,8,0,0.9,4.1,33,153,49,0.03,0.10,0.03,N/a,N/a,N/a,N/a,N/a,28.6,0.13,0.07,23.4,1158,76.8,6955,84.8,85.1,45.5,48,150,26,11,87,2.78,5,0.16,80,42,N/a,30,30,11,19,40,1814,85,427,954,453,19,N/a,N/a,38.9,791,2113,29,4,N/a,N/a,904,46,10,3,127,182,40,34,54.1
Lewis Dunk,ENG,Brighton,DF,33,"2,083",25,23,0,0,5,0,0.8,0.5,20,142,3,0.00,0.00,0.03,N/a,N/a,N/a,N/a,N/a,25.0,0.13,0.00,12.1,1778,91.0,10612,96.4,95.2,62.7,6,157,6,0,19,0.82,3,0.13,17,10,N/a,8,28,18,10,13,2127,258,993,1031,113,21,N/a,N/a,100.0,1341,3345,19,0,N/a,N/a,1556,7,11,2,5,104,51,31,62.2
Lewis Hall,ENG,Newcastle Utd,DF,20,"2,189",27,24,0,4,3,0,0.4,4.3,41,123,80,0.00,0.16,0.02,N/a,N/a,N/a,N/a,N/a,9.1,0.04,0.00,18.8,1300,81.7,8891,91.3,85.1,51.5,34,114,17,5,63,2.59,6,0.25,58,41,N/a,34,33,18,15,18,1820,95,623,804,414,47,N/a,N/a,33.3,950,2358,22,13,N/a,N/a,1094,9,21,1,110,119,30,31,49.2
Lewis Miley,ENG,Newcastle Utd,MF,19,249,12,1,1,0,0,0,0.5,0.0,2,14,7,0.36,0.00,0.20,N/a,N/a,N/a,N/a,N/a,66.7,0.72,0.33,14.6,142,87.7,349,88.9,96.1,87.5,1,10,4,0,3,1.08,0,0.00,11,9,N/a,5,5,1,4,2,198,5,37,105,57,5,N/a,N/a,33.3,96,186,1,0,N/a,N/a,141,3,1,0,0,16,5,5,50.0
Liam Delap,ENG,Ipswich Town,FW,22,"2,491",34,31,12,2,10,0,9.3,1.9,60,30,105,0.43,0.07,0.34,N/a,N/a,N/a,N/a,N/a,43.8,1.01,0.16,16.0,211,61.2,647,70.7,63.5,39.1,21,16,6,0,62,2.24,7,0.25,10,7,N/a,12,8,0,8,2,659,29,78,277,326,89,N/a,N/a,42.9,436,1570,46,29,N/a,N/a,519,67,50,13,5,66,53,69,43.4
Lisandro Martínez,ARG,Manchester Utd,DF,27,"1,751",20,20,2,1,7,0,1.3,1.1,23,117,7,0.10,0.05,0.07,N/a,N/a,N/a,N/a,N/a,35.3,0.31,0.12,15.9,1200,89.4,7055,94.2,93.0,55.2,9,91,18,2,26,1.34,2,0.10,40,24,N/a,15,22,8,14,32,1524,156,713,697,125,18,N/a,N/a,14.3,1017,3129,23,2,N/a,N/a,1069,22,7,0,9,81,16,13,55.2
Lloyd Kelly,ENG,Newcastle Utd,DF,26,303,10,4,0,1,2,0,0.4,0.5,0,9,5,0.00,0.30,0.12,N/a,N/a,N/a,N/a,N/a,0.0,0.00,0.00,7.3,146,80.7,867,87.7,89.7,41.7,2,6,1,1,2,0.59,1,0.30,5,4,N/a,0,6,4,2,1,215,26,105,94,19,4,N/a,N/a,33.3,120,202,2,0,N/a,N/a,129,5,5,1,1,19,6,2,75.0
Lucas Bergvall,SWE,Tottenham,MF,19,"1,212",27,11,0,1,3,0,0.7,0.6,33,49,31,0.00,0.07,0.05,N/a,N/a,N/a,N/a,N/a,16.7,0.15,0.00,19.9,629,87.4,2202,91.9,89.8,74.6,11,53,7,3,22,1.63,4,0.30,39,19,N/a,15,18,8,10,24,885,36,188,478,232,22,N/a,N/a,44.4,531,1634,21,4,N/a,N/a,586,20,17,0,21,73,9,8,52.9
Lucas Digne,FRA,Aston Villa,DF,31,"2,261",31,27,0,4,4,0,0.8,4.4,23,55,140,0.00,0.16,0.03,N/a,N/a,N/a,N/a,N/a,23.1,0.12,0.00,22.7,932,75.2,4888,88.2,78.8,40.1,35,43,29,18,63,2.51,5,0.20,63,37,N/a,21,23,4,19,25,1485,93,520,449,526,28,N/a,N/a,47.4,672,1328,14,4,N/a,N/a,808,20,14,7,138,100,35,27,56.5
Lucas Paquetá,BRA,West Ham,"MF,FW",27,"2,336",31,27,4,0,9,0,5.2,3.1,22,145,82,0.15,0.00,0.20,N/a,N/a,N/a,N/a,N/a,7.9,0.12,0.05,19.6,1088,77.3,5773,83.7,79.6,64.4,36,125,43,4,79,3.04,6,0.23,66,37,N/a,27,28,4,24,17,1738,62,360,957,435,57,N/a,N/a,46.5,891,1300,32,2,N/a,N/a,1220,52,62,6,28,146,48,57,45.7
Luis Díaz,COL,Liverpool,FW,28,"2,225",33,26,12,5,2,0,10.0,4.9,103,103,269,0.49,0.20,0.40,N/a,N/a,N/a,N/a,N/a,41.5,1.09,0.18,13.5,697,84.3,2406,88.6,86.0,82.4,54,45,43,6,116,4.69,16,0.65,33,21,N/a,21,18,0,18,7,1109,15,78,382,668,155,N/a,N/a,43.2,733,2803,53,55,N/a,N/a,878,48,30,10,30,98,12,33,26.7
Luis Guilherme,BRA,West Ham,"MF,FW",19,138,11,1,0,0,0,0,0.3,0.1,3,3,13,0.00,0.00,0.19,N/a,N/a,N/a,N/a,N/a,33.3,0.65,0.00,14.9,47,83.9,154,96.8,86.7,57.1,3,3,3,2,10,6.52,0,0.00,1,0,N/a,3,7,0,7,3,85,3,19,30,37,4,N/a,N/a,22.2,42,136,3,1,N/a,N/a,55,0,4,0,8,7,2,1,66.7
Luis Sinisterra,COL,Bournemouth,"FW,MF",25,236,12,1,1,1,0,0,1.2,1.4,19,6,38,0.38,0.38,0.46,N/a,N/a,N/a,N/a,N/a,46.2,2.29,0.08,14.8,73,78.5,200,91.7,68.8,100.0,9,6,2,2,14,5.29,1,0.38,7,2,N/a,4,3,0,3,1,155,7,18,41,96,23,N/a,N/a,50.0,95,393,6,10,N/a,N/a,102,4,2,1,7,17,3,7,30.0
Luke Shaw,ENG,Manchester Utd,DF,29,218,5,2,0,0,1,0,0.0,0.7,6,18,7,0.00,0.00,0.01,N/a,N/a,N/a,N/a,N/a,0.0,0.00,0.00,23.1,178,83.6,1052,92.9,86.6,56.5,5,12,3,1,9,3.72,0,0.00,4,3,N/a,0,2,1,1,2,234,15,92,105,37,4,N/a,N/a,100.0,170,402,6,0,N/a,N/a,183,2,0,0,9,9,3,2,60.0
Luke Thomas,ENG,Leicester City,DF,23,873,11,10,0,0,1,0,0.4,0.3,3,30,13,0.00,0.00,0.04,N/a,N/a,N/a,N/a,N/a,0.0,0.00,0.00,16.8,418,79.3,2171,91.9,82.3,44.1,7,27,3,1,12,1.24,1,0.10,25,20,N/a,14,13,5,8,18,644,39,237,312,99,7,N/a,N/a,60.0,314,497,7,2,N/a,N/a,363,6,6,0,23,36,11,11,50.0
Luke Woolfenden,ENG,Ipswich Town,DF,26,"1,187",15,12,0,0,2,0,0.0,0.0,7,15,0,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,0.0,0.00,0.00,12.9,496,88.3,3071,96.7,93.8,52.7,0,31,0,0,2,0.15,0,0.00,9,6,N/a,3,21,14,7,19,694,147,407,278,9,3,N/a,N/a,N/a,368,1249,3,0,N/a,N/a,442,5,2,1,0,38,15,15,50.0
Mads Hermansen,DEN,Leicester City,GK,24,"2,385",27,27,0,0,1,0,0.0,0.0,0,1,0,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,0.00,N/a,N/a,654,61.0,12387,97.4,94.8,32.7,0,20,1,0,3,0.11,0,0.00,1,1,N/a,0,1,0,1,0,1147,831,1106,43,0,0,N/a,N/a,0.0,734,1904,0,0,N/a,N/a,625,0,3,0,0,17,4,1,80.0
Mads Roerslev,DEN,Brentford,DF,25,"1,101",19,11,0,2,2,0,0.2,3.0,17,51,54,0.00,0.16,0.02,N/a,N/a,N/a,N/a,N/a,40.0,0.16,0.00,20.8,422,78.7,2249,88.0,79.9,55.1,14,37,11,4,21,1.72,2,0.16,18,8,N/a,17,12,5,7,4,645,49,234,268,146,20,N/a,N/a,42.1,352,858,13,0,N/a,N/a,407,6,10,0,31,39,10,14,41.7
Malo Gusto,FRA,Chelsea,DF,21,"1,832",29,19,0,1,4,0,1.7,1.3,49,119,84,0.00,0.05,0.08,N/a,N/a,N/a,N/a,N/a,18.2,0.20,0.00,21.3,1176,86.5,4818,93.2,88.3,61.3,21,109,18,6,57,2.80,4,0.20,43,28,N/a,23,29,8,21,23,1563,60,378,758,440,43,N/a,N/a,68.8,865,2195,35,8,N/a,N/a,1053,20,19,2,51,116,8,15,34.8
Manuel Akanji,SUI,Manchester City,DF,29,"1,744",23,20,0,0,3,0,0.7,0.4,38,138,6,0.00,0.00,0.04,N/a,N/a,N/a,N/a,N/a,10.0,0.05,0.00,16.3,1427,93.9,6445,95.9,95.4,75.3,9,153,11,2,34,1.75,2,0.10,16,11,N/a,5,11,8,3,7,1635,111,487,797,353,11,N/a,N/a,0.0,1071,3362,52,0,N/a,N/a,1291,16,9,0,11,89,26,29,47.3
Manuel Ugarte Ribeiro,URU,Manchester Utd,MF,24,"1,706",27,21,1,2,10,0,1.0,1.1,16,59,20,0.05,0.11,0.05,N/a,N/a,N/a,N/a,N/a,21.1,0.21,0.05,21.7,765,87.9,2683,89.6,93.1,75.6,10,54,9,3,31,1.64,4,0.21,74,46,N/a,38,31,4,27,26,1111,43,317,613,201,16,N/a,N/a,31.3,642,1306,16,1,N/a,N/a,693,38,33,0,7,117,17,18,48.6
Marc Guéhi,ENG,Crystal Palace,DF,24,"2,969",33,33,3,2,9,1,2.0,1.5,22,128,10,0.09,0.06,0.06,N/a,N/a,N/a,N/a,N/a,46.7,0.21,0.20,10.7,1419,83.3,11081,90.7,89.0,55.1,15,130,11,3,41,1.24,5,0.15,56,31,N/a,16,54,22,32,25,2056,298,1007,914,146,38,N/a,N/a,13.3,1099,2891,17,1,N/a,N/a,1283,23,26,1,13,137,68,57,54.4
Marc Cucurella,ESP,Chelsea,DF,26,"2,718",33,30,4,1,10,1,2.6,2.1,31,107,108,0.13,0.03,0.09,N/a,N/a,N/a,N/a,N/a,40.9,0.30,0.18,16.5,1569,88.0,7156,93.9,90.1,57.0,19,112,12,3,48,1.59,5,0.17,59,39,N/a,27,45,14,31,25,2075,109,637,958,490,73,N/a,N/a,53.8,882,2180,18,2,N/a,N/a,1287,34,33,3,29,119,30,51,37.0
Marco Asensio,ESP,Aston Villa,"MF,FW",29,540,10,6,3,1,1,0,4.2,0.8,16,34,26,0.50,0.17,0.70,N/a,N/a,N/a,N/a,N/a,47.1,1.33,0.18,18.9,185,80.4,774,90.7,84.4,29.4,13,15,8,2,27,4.50,3,0.50,7,5,N/a,6,2,0,2,1,287,4,26,119,147,24,N/a,N/a,35.7,177,500,18,4,N/a,N/a,200,8,7,2,23,22,0,1,0.0
Marcos Senesi,ARG,Bournemouth,DF,27,"1,014",15,12,0,0,5,0,0.8,0.2,12,51,5,0.00,0.00,0.07,N/a,N/a,N/a,N/a,N/a,0.0,0.00,0.00,6.0,493,76.6,5319,88.0,85.9,49.7,3,73,12,3,16,1.42,1,0.09,35,21,N/a,16,15,7,8,11,783,67,349,376,67,12,N/a,N/a,44.4,483,1465,14,0,N/a,N/a,493,19,7,0,10,67,23,27,46.0
Marcus Rashford,ENG,Manchester Utd,"FW,MF",27,978,15,12,4,1,2,0,1.7,2.1,20,21,79,0.37,0.09,0.16,N/a,N/a,N/a,N/a,N/a,56.3,0.83,0.25,16.4,253,73.8,868,83.6,65.9,50.0,15,13,16,8,29,2.67,1,0.09,7,4,N/a,6,8,0,8,4,440,3,35,189,222,34,N/a,N/a,66.7,293,728,19,12,N/a,N/a,341,8,7,7,27,24,5,7,41.7
Marcus Tavernier,ENG,Bournemouth,"FW,MF",26,"1,670",26,17,3,5,5,0,5.3,2.8,41,102,106,0.16,0.27,0.29,N/a,N/a,N/a,N/a,N/a,30.0,0.81,0.06,20.2,553,72.5,2828,85.9,78.3,44.9,36,64,30,9,85,4.58,11,0.59,41,24,N/a,16,16,3,13,5,1000,18,114,385,523,51,N/a,N/a,49.1,567,1622,40,7,N/a,N/a,641,28,23,4,91,101,25,31,44.6
Mario Lemina,GAB,Wolves,"MF,DF",31,"1,364",17,15,1,3,4,0,1.4,1.1,8,48,21,0.07,0.20,0.09,N/a,N/a,N/a,N/a,N/a,27.8,0.33,0.06,21.9,493,80.4,2966,85.0,87.7,61.1,10,43,13,4,26,1.71,5,0.33,51,31,N/a,9,12,7,5,27,809,92,324,378,119,18,N/a,N/a,25.0,382,1038,12,2,N/a,N/a,482,17,8,4,10,73,25,16,61.0
Mark Flekken,NED,Brentford,GK,31,"3,005",34,34,0,2,1,0,0.0,0.5,0,0,0,0.00,0.06,0.00,N/a,N/a,N/a,N/a,N/a,N/a,0.00,N/a,N/a,1179,73.4,23832,97.9,97.5,49.9,3,47,2,0,10,0.30,2,0.06,4,4,N/a,6,2,0,2,0,1707,1338,1660,52,0,0,N/a,N/a,0.0,1045,3005,0,0,N/a,N/a,953,0,3,0,0,37,4,0,100.0
Mark Travers,IRL,Bournemouth,GK,25,450,5,5,0,0,0,0,0.0,0.0,0,0,0,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,0.00,N/a,N/a,100,70.4,2692,100.0,96.2,51.8,0,3,0,0,0,0.00,0,0.00,0,0,N/a,0,0,0,0,0,162,144,159,3,0,0,N/a,N/a,N/a,85,188,0,0,N/a,N/a,68,0,1,0,0,3,1,0,100.0
Marshall Munetsi,ZIM,Wolves,"MF,FW",28,878,11,10,1,1,0,0,3.0,1.5,7,8,26,0.10,0.10,0.31,N/a,N/a,N/a,N/a,N/a,33.3,0.51,0.07,14.8,125,72.7,323,79.6,75.0,33.3,7,4,2,1,16,1.64,1,0.10,21,10,N/a,8,12,1,11,6,302,17,50,161,94,24,N/a,N/a,70.0,119,159,3,3,N/a,N/a,150,15,10,3,6,31,24,18,57.1
Martin Dúbravka,SVK,Newcastle Utd,GK,36,900,10,10,0,0,0,0,0.0,0.0,0,0,0,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,0.00,N/a,N/a,265,79.6,3082,100.0,100.0,40.2,0,0,0,0,0,0.00,0,0.00,0,0,N/a,0,0,0,0,0,350,262,337,14,0,0,N/a,N/a,N/a,202,643,0,0,N/a,N/a,175,0,1,0,0,18,4,0,100.0
Martin Ødegaard,NOR,Arsenal,MF,26,"2,130",27,24,2,7,4,0,4.6,5.0,82,240,144,0.08,0.30,0.19,N/a,N/a,N/a,N/a,N/a,30.2,0.55,0.02,18.7,1141,82.9,5077,90.5,87.4,53.4,57,120,81,5,115,4.86,14,0.59,19,11,N/a,20,5,0,5,4,1550,7,108,655,801,105,N/a,N/a,54.5,1071,3426,74,23,N/a,N/a,1230,10,23,1,81,91,8,7,53.3
Mason Mount,ENG,Manchester Utd,"MF,FW",26,430,14,5,1,0,3,0,2.3,0.2,11,21,23,0.21,0.00,0.48,N/a,N/a,N/a,N/a,N/a,38.5,1.05,0.08,15.7,142,80.2,444,85.6,80.8,54.5,5,11,4,1,15,3.14,0,0.00,10,4,N/a,2,8,1,7,3,233,6,31,119,86,20,N/a,N/a,80.0,149,328,9,2,N/a,N/a,172,14,7,0,9,15,4,6,40.0
Massimo Luongo,AUS,Ipswich Town,MF,32,196,9,2,0,0,0,0,0.0,0.0,0,5,1,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,0.00,N/a,N/a,43,75.4,135,90.0,68.8,42.9,0,1,0,0,0,0.00,0,0.00,8,5,N/a,3,4,2,2,2,77,9,33,25,19,1,N/a,N/a,N/a,40,25,0,0,N/a,N/a,44,1,2,0,1,10,1,0,100.0
Mateo Kovačić,CRO,Manchester City,MF,31,"2,049",29,23,6,1,5,0,1.7,3.6,52,149,15,0.26,0.04,0.08,N/a,N/a,N/a,N/a,N/a,29.3,0.53,0.15,22.5,1604,92.6,6497,95.1,95.7,64.3,29,189,28,0,63,2.77,6,0.26,67,38,N/a,33,20,0,20,20,1959,51,287,1126,567,16,N/a,N/a,28.2,1332,3573,73,3,N/a,N/a,1590,23,23,0,0,110,9,8,52.9
Mateus Fernandes,POR,Southampton,MF,20,"2,640",33,31,2,3,8,0,3.8,2.6,73,131,102,0.07,0.10,0.13,N/a,N/a,N/a,N/a,N/a,35.9,0.48,0.05,18.5,1003,79.9,3950,87.9,85.6,55.3,31,91,21,4,71,2.42,6,0.20,86,46,N/a,31,40,6,34,21,1619,59,345,800,511,46,N/a,N/a,45.5,836,2981,66,8,N/a,N/a,1000,42,53,4,104,165,13,9,59.1
Matheus Cunha,BRA,Wolves,"MF,FW",25,"2,425",30,27,15,6,3,0,7.9,7.3,104,131,147,0.56,0.22,0.29,N/a,N/a,N/a,N/a,N/a,41.2,1.48,0.15,20.6,743,71.9,4055,85.1,75.9,45.1,51,89,54,10,118,4.38,16,0.59,35,21,N/a,25,19,1,18,17,1425,22,173,657,643,117,N/a,N/a,43.8,819,3108,88,36,N/a,N/a,957,41,69,8,123,123,10,27,27.0
Matheus Nunes,POR,Manchester City,"DF,MF",26,"1,494",24,17,1,5,4,0,0.9,4.2,59,69,156,0.06,0.30,0.05,N/a,N/a,N/a,N/a,N/a,42.9,0.18,0.14,18.3,957,86.3,2604,91.3,88.2,64.9,21,45,25,7,39,2.35,6,0.36,32,21,N/a,19,14,3,11,13,1267,39,221,494,560,54,N/a,N/a,36.1,779,2131,31,22,N/a,N/a,916,28,17,6,39,60,13,16,44.8
Mathias Jensen,DEN,Brentford,MF,29,816,21,8,0,2,2,0,0.2,1.6,6,56,26,0.00,0.22,0.03,N/a,N/a,N/a,N/a,N/a,16.7,0.11,0.00,23.1,342,75.5,2265,87.9,78.9,55.0,15,39,18,2,38,4.19,5,0.55,13,9,N/a,8,13,4,9,8,531,25,120,223,191,9,N/a,N/a,26.7,278,543,8,0,N/a,N/a,326,7,10,0,31,45,8,5,61.5
Mathys Tel,FRA,Tottenham,FW,20,649,10,8,2,1,1,0,2.3,1.4,18,16,57,0.28,0.14,0.32,N/a,N/a,N/a,N/a,N/a,35.0,0.97,0.05,16.2,148,70.8,550,83.3,70.4,62.1,10,9,12,4,20,2.78,1,0.14,8,3,N/a,7,6,0,6,0,315,2,33,117,173,32,N/a,N/a,63.2,208,597,18,7,N/a,N/a,221,8,8,0,29,29,4,3,57.1
Mats Wieffer,NED,Brighton,"MF,DF",25,745,22,7,1,3,5,0,0.7,1.5,13,52,18,0.12,0.36,0.09,N/a,N/a,N/a,N/a,N/a,50.0,0.48,0.13,12.9,469,85.6,2052,90.5,88.4,72.1,13,46,6,1,26,3.14,4,0.48,37,22,N/a,12,13,1,12,13,668,34,157,358,162,14,N/a,N/a,46.2,393,824,15,1,N/a,N/a,427,20,6,1,7,57,25,19,56.8
Matt Doherty,IRL,Wolves,DF,33,"1,965",28,23,2,1,6,0,1.0,1.5,29,76,40,0.09,0.05,0.05,N/a,N/a,N/a,N/a,N/a,30.0,0.14,0.20,11.4,1003,82.6,6158,90.4,86.5,61.7,11,88,14,1,24,1.10,3,0.14,37,20,N/a,8,26,15,11,21,1433,123,566,705,179,25,N/a,N/a,30.0,754,2050,19,4,N/a,N/a,909,18,11,2,18,99,48,19,71.6
Matt O'Riley,DEN,Brighton,MF,24,847,18,10,1,1,1,0,2.0,1.7,19,34,47,0.11,0.11,0.21,N/a,N/a,N/a,N/a,N/a,30.0,0.64,0.05,16.8,285,77.9,1222,90.1,80.3,50.0,17,28,7,0,35,3.72,4,0.43,15,9,N/a,8,7,3,4,13,468,17,68,212,190,40,N/a,N/a,33.3,243,493,11,7,N/a,N/a,275,13,12,1,43,24,5,7,41.7
Matthijs de Ligt,NED,Manchester Utd,DF,25,"2,123",29,25,2,0,3,0,2.5,0.3,7,55,6,0.08,0.00,0.10,N/a,N/a,N/a,N/a,N/a,50.0,0.38,0.11,7.9,1241,89.9,5955,94.2,94.4,49.1,6,63,2,1,14,0.59,1,0.04,30,22,N/a,9,29,21,8,33,1608,184,828,731,56,29,N/a,N/a,50.0,1078,2225,3,0,N/a,N/a,1158,16,12,2,6,68,58,29,66.7
Matty Cash,POL,Aston Villa,DF,27,"1,800",24,21,1,1,6,0,0.3,1.1,46,39,75,0.05,0.05,0.02,N/a,N/a,N/a,N/a,N/a,40.0,0.20,0.10,19.0,642,79.2,2984,90.2,80.0,52.3,10,37,9,5,22,1.10,2,0.10,47,27,N/a,10,18,7,11,21,1012,73,365,401,257,37,N/a,N/a,44.4,507,1618,34,4,N/a,N/a,575,25,16,1,33,64,17,19,47.2
Matz Sels,BEL,Nott'ham Forest,GK,33,"3,150",35,35,0,0,4,0,0.0,0.0,0,1,0,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,0.00,N/a,N/a,472,51.1,15420,100.0,98.0,36.9,1,42,3,0,5,0.14,0,0.00,1,1,N/a,0,0,0,0,0,1018,777,1002,16,0,0,N/a,N/a,N/a,489,1500,1,1,N/a,N/a,392,1,10,0,0,11,14,2,87.5
Max Kilman,ENG,West Ham,DF,27,"3,078",35,35,0,1,4,0,1.4,1.2,29,107,6,0.00,0.03,0.04,N/a,N/a,N/a,N/a,N/a,16.7,0.06,0.00,8.8,1548,86.6,10020,91.8,92.7,58.0,16,102,4,0,29,0.85,3,0.09,33,20,N/a,4,55,37,18,38,2176,434,1208,879,105,31,N/a,N/a,10.0,1151,2956,13,2,N/a,N/a,1441,21,13,2,3,138,105,50,67.7
Maxence Lacroix,FRA,Crystal Palace,DF,25,"2,846",32,32,1,1,5,0,3.1,0.8,8,61,7,0.03,0.03,0.10,N/a,N/a,N/a,N/a,N/a,17.2,0.16,0.03,11.1,1125,81.5,9099,85.2,90.6,54.3,6,67,3,1,26,0.82,4,0.13,67,40,N/a,15,43,18,25,52,1805,331,1095,637,80,42,N/a,N/a,28.6,962,2079,4,0,N/a,N/a,1062,33,18,1,6,123,57,46,55.3
Michael Kayode,ITA,Brentford,DF,20,291,9,3,0,1,1,0,0.1,1.0,8,5,16,0.00,0.31,0.02,N/a,N/a,N/a,N/a,N/a,0.0,0.00,0.00,18.5,95,73.6,587,84.0,75.4,43.8,4,5,1,1,10,3.09,3,0.93,13,8,N/a,0,0,0,0,4,171,15,66,53,55,10,N/a,N/a,33.3,72,269,4,3,N/a,N/a,70,5,2,0,7,22,2,1,66.7
Michael Keane,ENG,Everton,DF,32,852,11,9,2,0,5,0,0.4,0.1,1,12,3,0.21,0.00,0.05,N/a,N/a,N/a,N/a,N/a,37.5,0.32,0.25,14.8,258,81.6,1868,88.5,90.3,75.3,2,17,0,0,6,0.63,0,0.00,10,7,N/a,6,11,7,4,10,426,85,241,169,18,14,N/a,N/a,100.0,189,236,1,0,N/a,N/a,240,9,0,0,1,24,20,14,58.8
Michail Antonio,JAM,West Ham,FW,35,836,14,11,1,1,1,0,2.2,1.6,29,18,59,0.11,0.11,0.24,N/a,N/a,N/a,N/a,N/a,21.1,0.43,0.05,12.6,114,60.6,424,72.2,59.7,71.0,9,11,6,2,22,2.37,4,0.43,2,2,N/a,1,6,0,6,0,296,3,26,124,151,36,N/a,N/a,48.1,173,695,13,9,N/a,N/a,221,12,7,4,25,22,17,22,43.6
Micky van de Ven,NED,Tottenham,DF,24,950,12,11,0,2,4,0,0.6,1.2,8,51,1,0.00,0.19,0.05,N/a,N/a,N/a,N/a,N/a,33.3,0.19,0.00,11.1,706,91.0,4092,91.7,96.5,62.5,2,50,1,0,11,1.04,2,0.19,10,6,N/a,6,9,6,3,10,862,101,442,393,36,9,N/a,N/a,50.0,599,1388,10,1,N/a,N/a,629,10,8,0,0,61,19,18,51.4
Miguel Almirón,PAR,Newcastle Utd,FW,31,157,9,1,0,0,0,0,0.5,0.3,3,6,18,0.00,0.00,0.30,N/a,N/a,N/a,N/a,N/a,33.3,1.15,0.00,14.2,54,81.8,219,92.9,81.3,33.3,3,3,1,0,8,4.59,0,0.00,3,2,N/a,1,2,0,2,0,81,1,10,35,36,9,N/a,N/a,50.0,54,93,3,2,N/a,N/a,59,1,3,2,0,4,0,2,0.0
Mikel Merino,ESP,Arsenal,"MF,FW",28,"1,418",26,15,6,2,2,0,4.4,1.9,9,62,88,0.38,0.13,0.28,N/a,N/a,N/a,N/a,N/a,37.5,0.76,0.19,10.5,422,78.0,1649,86.9,78.7,53.3,15,34,24,4,39,2.48,4,0.25,38,22,N/a,14,18,5,13,14,724,35,130,303,300,72,N/a,N/a,36.8,357,645,12,4,N/a,N/a,470,36,20,7,12,78,57,52,52.3
Mikey Moore,ENG,Tottenham,FW,17,208,8,2,0,1,0,0,0.2,0.3,9,7,31,0.00,0.43,0.09,N/a,N/a,N/a,N/a,N/a,0.0,0.00,0.00,19.5,52,70.3,186,96.9,62.5,16.7,3,1,5,1,10,4.33,2,0.87,0,0,N/a,1,1,0,1,1,105,1,11,27,68,12,N/a,N/a,75.0,76,263,3,4,N/a,N/a,79,3,5,3,14,8,1,4,20.0
Mikkel Damsgaard,DEN,Brentford,"MF,FW",24,"2,658",35,31,2,10,2,0,2.6,7.8,64,213,121,0.07,0.34,0.09,N/a,N/a,N/a,N/a,N/a,21.9,0.24,0.06,17.5,1011,72.7,6884,85.3,73.3,53.2,59,153,67,17,114,3.86,21,0.71,78,43,N/a,44,36,2,34,26,1713,34,310,785,640,72,N/a,N/a,35.5,972,2753,42,9,N/a,N/a,1131,18,27,6,130,159,12,25,32.4
Milos Kerkez,HUN,Bournemouth,DF,21,"3,077",35,35,2,5,4,0,0.5,3.7,96,144,169,0.06,0.15,0.02,N/a,N/a,N/a,N/a,N/a,29.4,0.15,0.12,20.4,1215,75.2,6370,89.4,77.4,37.4,32,80,36,23,76,2.22,9,0.26,50,26,N/a,14,36,11,25,42,1975,105,512,832,654,58,N/a,N/a,31.8,986,3394,67,15,N/a,N/a,1073,28,45,1,125,156,25,47,34.7
Mohamed Salah,EGY,Liverpool,FW,32,"3,101",35,35,28,18,1,0,24.0,13.2,143,133,440,0.81,0.52,0.70,N/a,N/a,N/a,N/a,N/a,42.0,1.36,0.17,14.7,833,71.2,3588,83.6,70.3,59.6,82,49,86,14,157,4.56,26,0.75,20,11,N/a,9,11,0,11,7,1568,10,90,474,1023,327,N/a,N/a,52.0,1079,3375,54,115,N/a,N/a,1313,22,36,16,72,95,9,12,42.9
